date_date;wind;weather
2012-09-18;1.4;sun
2012-09-19;1.9;drizzle
2012-09-20;2.5;drizzle
2012-09-21;2.1;drizzle
2012-09-22;1.1;rain
2012-09-23;1.4;fog
2012-09-24;1.8;fog
2012-09-25;1.7;sun
2012-09-26;1.7;drizzle
2012-09-27;1.7;drizzle
2012-09-28;1.1;rain
2012-09-29;4.3;sun
2012-09-30;3.1;sun
2012-10-01;3.0;sun
2012-10-02;4.1;sun
2012-10-03;7.3;sun
2012-10-04;6.5;sun
2012-10-05;5.7;sun
2012-10-06;5.1;sun
2012-10-07;1.3;sun
2012-10-08;1.9;sun
2012-10-09;1.6;drizzle
2012-10-10;1.4;drizzle
2012-10-11;1.3;drizzle
2012-10-12;4.6;rain
2012-10-13;3.9;rain
2012-10-14;3.4;rain
2012-10-15;4.6;rain
2012-10-16;5.5;sun
2012-10-17;1.6;sun
2012-10-18;2.0;rain
2012-10-19;5.3;rain
2012-10-20;5.7;rain
2012-10-21;2.7;rain
2012-10-22;2.6;rain
2012-10-23;3.0;rain
2012-10-24;2.1;rain
2012-10-25;1.5;sun
2012-10-26;2.5;rain
2012-10-27;5.1;rain
2012-10-28;3.8;rain
2012-10-29;4.9;rain
2012-10-30;2.8;rain
2012-10-31;2.7;rain
2012-11-01;3.0;rain
2012-11-02;1.0;rain
2012-11-03;3.6;rain
2012-11-04;3.8;rain
2012-11-05;4.0;rain
2012-11-06;3.5;rain
2012-11-07;3.4;rain
2012-11-08;3.4;rain
2012-11-09;2.0;rain
2012-11-10;2.2;sun
2012-11-11;3.0;rain
2012-11-12;3.0;rain
2012-11-13;2.5;rain
2012-11-14;2.6;rain
2012-11-15;2.4;drizzle
2012-11-16;1.6;rain
2012-11-17;5.3;rain
2012-11-18;4.9;rain
2012-11-19;6.0;rain
2012-11-20;4.2;rain
2012-11-21;5.5;rain
2012-11-22;1.5;rain
2012-11-23;2.4;rain
2012-11-24;1.2;rain
2012-11-25;3.6;drizzle
2012-11-26;3.8;fog
2012-11-27;1.5;sun
2012-11-28;2.9;rain
2012-11-29;4.2;rain
2012-11-30;4.6;rain
2012-12-01;5.5;rain
2012-12-02;6.2;rain
2012-12-03;4.4;rain
2012-12-04;6.2;rain
2012-12-05;5.0;rain
2012-12-06;5.1;rain
2012-12-07;4.6;rain
2012-12-08;2.0;sun
2012-12-09;2.1;rain
2012-12-10;1.8;rain
2012-12-11;4.5;rain
2012-12-12;2.0;rain
2012-12-13;2.8;rain
2012-12-14;1.7;rain
2012-12-15;5.1;snow
2012-12-16;5.5;snow
2012-12-17;9.5;rain
2012-12-18;5.3;snow
2012-12-19;5.8;snow
2012-12-20;3.7;rain
2012-12-21;1.7;rain
2012-12-22;3.5;rain
2012-12-23;2.5;rain
2012-12-24;2.8;rain
2012-12-25;4.2;snow
2012-12-26;4.9;rain
2012-12-27;3.2;rain
2012-12-28;1.7;rain
2012-12-29;1.7;rain
2012-12-30;1.8;drizzle
2012-12-31;2.0;drizzle
2013-01-01;2.7;sun
2013-01-02;3.2;sun
2013-01-03;3.0;rain
2013-01-04;2.8;rain
2013-01-05;3.1;rain
2013-01-06;3.0;rain
2013-01-07;7.3;rain
2013-01-08;6.3;rain
2013-01-09;5.1;rain
2013-01-10;2.1;snow
2013-01-11;1.9;drizzle
2013-01-12;2.0;sun
2013-01-13;1.5;sun
2013-01-14;1.3;sun
2013-01-15;2.3;sun
2013-01-16;1.8;drizzle
2013-01-17;1.0;drizzle
2013-01-18;1.3;drizzle
2013-01-19;1.9;drizzle
2013-01-20;2.1;drizzle
2013-01-21;1.1;drizzle
2013-01-22;0.6;drizzle
2013-01-23;3.1;rain
2013-01-24;2.6;rain
2013-01-25;2.1;rain
2013-01-26;4.5;rain
2013-01-27;4.5;rain
2013-01-28;3.2;rain
2013-01-29;3.9;rain
2013-01-30;3.9;rain
2013-01-31;4.0;rain
2013-02-01;2.9;rain
2013-02-02;2.0;drizzle
2013-02-03;2.9;rain
2013-02-04;2.6;rain
2013-02-05;5.1;rain
2013-02-06;4.5;rain
2013-02-07;4.1;rain
2013-02-08;1.3;sun
2013-02-09;1.3;rain
2013-02-10;2.0;drizzle
2013-02-11;1.4;rain
2013-02-12;5.6;rain
2013-02-13;4.1;rain
2013-02-14;2.2;rain
2013-02-15;2.4;drizzle
2013-02-16;5.6;rain
2013-02-17;3.4;rain
2013-02-18;1.9;rain
2013-02-19;3.4;sun
2013-02-20;2.1;rain
2013-02-21;6.2;rain
2013-02-22;8.1;rain
2013-02-23;4.6;rain
2013-02-24;5.5;rain
2013-02-25;7.1;rain
2013-02-26;3.8;rain
2013-02-27;1.8;rain
2013-02-28;3.8;rain
2013-03-01;5.4;rain
2013-03-02;4.5;rain
2013-03-03;2.8;sun
2013-03-04;3.9;sun
2013-03-05;2.4;rain
2013-03-06;4.1;rain
2013-03-07;2.5;rain
2013-03-08;2.6;drizzle
2013-03-09;1.3;fog
2013-03-10;1.6;rain
2013-03-11;1.1;rain
2013-03-12;5.7;rain
2013-03-13;3.7;rain
2013-03-14;3.0;rain
2013-03-15;4.3;rain
2013-03-16;6.4;rain
2013-03-17;6.1;sun
2013-03-18;5.9;rain
2013-03-19;3.4;rain
2013-03-20;7.6;rain
2013-03-21;4.9;snow
2013-03-22;2.2;sun
2013-03-23;2.6;sun
2013-03-24;2.1;sun
2013-03-25;2.8;sun
2013-03-26;1.7;sun
2013-03-27;1.6;rain
2013-03-28;1.3;rain
2013-03-29;2.5;rain
2013-03-30;4.4;drizzle
2013-03-31;2.9;sun
2013-04-01;3.6;sun
2013-04-02;2.2;sun
2013-04-03;1.6;sun
2013-04-04;3.0;rain
2013-04-05;5.6;rain
2013-04-06;5.0;rain
2013-04-07;3.9;rain
2013-04-08;3.1;rain
2013-04-09;2.4;sun
2013-04-10;6.4;rain
2013-04-11;3.8;rain
2013-04-12;4.6;rain
2013-04-13;5.7;rain
2013-04-14;2.3;rain
2013-04-15;2.4;fog
2013-04-16;2.6;rain
2013-04-17;3.3;drizzle
2013-04-18;4.0;rain
2013-04-19;4.9;rain
2013-04-20;5.8;sun
2013-04-21;4.1;rain
2013-04-22;4.3;sun
2013-04-23;2.8;sun
2013-04-24;3.0;sun
2013-04-25;1.1;sun
2013-04-26;2.2;fog
2013-04-27;5.9;sun
2013-04-28;5.2;rain
2013-04-29;4.2;rain
2013-04-30;2.4;sun
2013-05-01;3.1;sun
2013-05-02;4.0;sun
2013-05-03;4.9;sun
2013-05-04;6.5;sun
2013-05-05;5.3;sun
2013-05-06;2.0;sun
2013-05-07;3.3;sun
2013-05-08;1.9;sun
2013-05-09;1.3;sun
2013-05-10;1.0;sun
2013-05-11;2.6;sun
2013-05-12;3.9;rain
2013-05-13;5.0;rain
2013-05-14;2.4;sun
2013-05-15;2.3;rain
2013-05-16;2.7;fog
2013-05-17;3.7;rain
2013-05-18;2.9;sun
2013-05-19;2.3;sun
2013-05-20;1.8;sun
2013-05-21;4.8;rain
2013-05-22;3.0;rain
2013-05-23;1.9;rain
2013-05-24;2.7;rain
2013-05-25;2.7;sun
2013-05-26;2.2;rain
2013-05-27;3.1;rain
2013-05-28;2.8;rain
2013-05-29;4.0;rain
2013-05-30;5.3;sun
2013-05-31;2.5;sun
2013-06-01;2.5;sun
2013-06-02;3.1;rain
2013-06-03;2.9;sun
2013-06-04;3.4;sun
2013-06-05;3.1;sun
2013-06-06;2.5;sun
2013-06-07;3.2;sun
2013-06-08;3.1;sun
2013-06-09;3.7;sun
2013-06-10;3.2;sun
2013-06-11;5.7;sun
2013-06-12;4.2;rain
2013-06-13;2.6;sun
2013-06-14;3.7;sun
2013-06-15;2.9;sun
2013-06-16;3.4;sun
2013-06-17;3.0;sun
2013-06-18;3.4;rain
2013-06-19;3.7;sun
2013-06-20;5.0;rain
2013-06-21;1.5;rain
2013-06-22;1.7;sun
2013-06-23;2.1;rain
2013-06-24;3.7;rain
2013-06-25;2.8;rain
2013-06-26;2.3;rain
2013-06-27;1.3;rain
2013-06-28;2.2;sun
2013-06-29;1.7;sun
2013-06-30;2.5;sun
2013-07-01;2.3;sun
2013-07-02;3.0;sun
2013-07-03;3.2;sun
2013-07-04;2.2;fog
2013-07-05;2.6;sun
2013-07-06;2.2;sun
2013-07-07;2.9;sun
2013-07-08;2.8;sun
2013-07-09;2.5;sun
2013-07-10;2.6;sun
2013-07-11;3.0;sun
2013-07-12;2.2;sun
2013-07-13;3.1;sun
2013-07-14;3.0;sun
2013-07-15;4.6;sun
2013-07-16;4.1;sun
2013-07-17;3.7;sun
2013-07-18;2.0;sun
2013-07-19;1.9;sun
2013-07-20;2.0;sun
2013-07-21;2.3;sun
2013-07-22;2.4;fog
2013-07-23;3.0;sun
2013-07-24;2.5;sun
2013-07-25;2.3;sun
2013-07-26;2.9;sun
2013-07-27;2.6;sun
2013-07-28;3.4;fog
2013-07-29;1.4;sun
2013-07-30;2.8;sun
2013-07-31;1.8;sun
2013-08-01;3.9;sun
2013-08-02;2.0;rain
2013-08-03;2.4;fog
2013-08-04;3.4;sun
2013-08-05;2.1;sun
2013-08-06;1.4;sun
2013-08-07;1.9;sun
2013-08-08;2.5;sun
2013-08-09;2.1;sun
2013-08-10;2.9;rain
2013-08-11;2.9;sun
2013-08-12;1.9;sun
2013-08-13;1.8;sun
2013-08-14;2.0;rain
2013-08-15;1.0;rain
2013-08-16;2.2;fog
2013-08-17;3.0;sun
2013-08-18;3.1;sun
2013-08-19;3.0;sun
2013-08-20;4.6;sun
2013-08-21;4.3;sun
2013-08-22;1.9;sun
2013-08-23;4.1;sun
2013-08-24;2.7;sun
2013-08-25;2.6;rain
2013-08-26;1.9;rain
2013-08-27;1.4;rain
2013-08-28;1.3;rain
2013-08-29;3.0;rain
2013-08-30;2.9;sun
2013-08-31;2.6;sun
2013-09-01;2.5;sun
2013-09-02;2.1;sun
2013-09-03;1.7;rain
2013-09-04;2.4;rain
2013-09-05;2.5;rain
2013-09-06;2.6;rain
2013-09-07;2.0;sun
2013-09-08;1.5;fog
2013-09-09;2.1;sun
2013-09-10;3.7;sun
2013-09-11;2.4;sun
2013-09-12;1.7;sun
2013-09-13;2.0;sun
2013-09-14;1.4;fog
2013-09-15;2.2;rain
2013-09-16;4.3;rain
2013-09-17;2.3;sun
2013-09-18;2.5;sun
2013-09-19;1.5;sun
2013-09-20;3.0;rain
2013-09-21;2.5;sun
2013-09-22;5.5;rain
2013-09-23;4.5;rain
2013-09-24;2.6;sun
2013-09-25;3.0;rain
2013-09-26;2.2;sun
2013-09-27;4.3;rain
2013-09-28;6.0;rain
2013-09-29;7.1;rain
2013-09-30;6.3;rain
2013-10-01;4.7;rain
2013-10-02;2.4;rain
2013-10-03;0.9;rain
2013-10-04;1.1;sun
2013-10-05;1.6;sun
2013-10-06;2.6;rain
2013-10-07;6.3;rain
2013-10-08;3.0;rain
2013-10-09;1.6;sun
2013-10-10;1.7;rain
2013-10-11;1.0;rain
2013-10-12;2.2;rain
2013-10-13;1.8;fog
2013-10-14;1.6;sun
2013-10-15;0.9;sun
2013-10-16;2.7;fog
2013-10-17;1.7;fog
2013-10-18;1.2;sun
2013-10-19;1.4;sun
2013-10-20;2.4;sun
2013-10-21;2.5;sun
2013-10-22;1.9;sun
2013-10-23;0.4;sun
2013-10-24;0.6;sun
2013-10-25;1.8;sun
2013-10-26;2.7;sun
2013-10-27;4.4;rain
2013-10-28;5.1;sun
2013-10-29;2.2;sun
2013-10-30;3.9;rain
2013-10-31;2.2;rain
2013-11-01;1.4;rain
2013-11-02;7.9;rain
2013-11-03;2.4;rain
2013-11-04;1.6;drizzle
2013-11-05;3.1;rain
2013-11-06;1.7;rain
2013-11-07;7.2;rain
2013-11-08;4.1;sun
2013-11-09;1.4;rain
2013-11-10;4.4;sun
2013-11-11;2.6;fog
2013-11-12;2.2;rain
2013-11-13;3.8;sun
2013-11-14;1.1;rain
2013-11-15;6.0;rain
2013-11-16;4.6;sun
2013-11-17;5.4;rain
2013-11-18;3.9;rain
2013-11-19;5.1;rain
2013-11-20;4.3;sun
2013-11-21;3.6;sun
2013-11-22;4.6;sun
2013-11-23;2.6;sun
2013-11-24;0.9;fog
2013-11-25;0.5;sun
2013-11-26;1.0;sun
2013-11-27;1.3;sun
2013-11-28;0.7;sun
2013-11-29;2.1;rain
2013-11-30;3.9;rain
2013-12-01;8.8;rain
2013-12-02;3.5;rain
2013-12-03;5.6;sun
2013-12-04;1.6;sun
2013-12-05;2.6;sun
2013-12-06;4.7;sun
2013-12-07;3.1;sun
2013-12-08;2.2;sun
2013-12-09;1.3;sun
2013-12-10;1.5;sun
2013-12-11;0.8;sun
2013-12-12;2.3;rain
2013-12-13;2.9;rain
2013-12-14;3.7;sun
2013-12-15;3.9;rain
2013-12-16;1.0;rain
2013-12-17;2.7;sun
2013-12-18;2.8;rain
2013-12-19;2.1;sun
2013-12-20;3.7;snow
2013-12-21;2.3;rain
2013-12-22;4.0;rain
2013-12-23;5.9;rain
2013-12-24;1.7;sun
2013-12-25;0.8;sun
2013-12-26;0.5;sun
2013-12-27;2.1;rain
2013-12-28;1.3;sun
2013-12-29;1.1;sun
2013-12-30;2.6;rain
2013-12-31;1.7;rain
2014-01-01;1.2;sun
2014-01-02;3.2;rain
2014-01-03;2.6;rain
2014-01-04;2.7;fog
2014-01-05;3.7;sun
2014-01-06;2.6;rain
2014-01-07;1.6;rain
2014-01-08;4.6;rain
2014-01-09;6.3;rain
2014-01-10;7.0;rain
2014-01-11;8.8;rain
2014-01-12;8.1;rain
2014-01-13;7.1;sun
2014-01-14;1.3;sun
2014-01-15;2.5;sun
2014-01-16;2.7;sun
2014-01-17;2.3;sun
2014-01-18;2.2;sun
2014-01-19;2.5;sun
2014-01-20;2.2;sun
2014-01-21;1.5;sun
2014-01-22;2.6;rain
2014-01-23;5.2;fog
2014-01-24;1.9;sun
2014-01-25;0.8;sun
2014-01-26;1.3;sun
2014-01-27;1.3;sun
2014-01-28;1.6;rain
2014-01-29;3.4;rain
2014-01-30;6.4;sun
2014-01-31;2.6;rain
2014-02-01;0.8;rain
2014-02-02;2.5;sun
2014-02-03;4.3;sun
2014-02-04;4.7;sun
2014-02-05;6.6;sun
2014-02-06;4.5;sun
2014-02-07;4.2;sun
2014-02-08;4.6;snow
2014-02-09;2.4;rain
2014-02-10;4.7;rain
2014-02-11;3.8;rain
2014-02-12;6.4;rain
2014-02-13;6.3;rain
2014-02-14;6.4;rain
2014-02-15;5.1;rain
2014-02-16;7.9;rain
2014-02-17;5.5;rain
2014-02-18;6.2;rain
2014-02-19;6.0;rain
2014-02-20;6.9;rain
2014-02-21;2.9;rain
2014-02-22;3.1;rain
2014-02-23;2.6;rain
2014-02-24;3.2;rain
2014-02-25;4.5;rain
2014-02-26;2.5;sun
2014-02-27;2.3;sun
2014-02-28;5.9;sun
2014-03-01;4.7;rain
2014-03-02;5.7;rain
2014-03-03;5.1;rain
2014-03-04;3.9;rain
2014-03-05;3.9;rain
2014-03-06;6.2;rain
2014-03-07;4.2;sun
2014-03-08;2.7;rain
2014-03-09;4.3;rain
2014-03-10;2.2;rain
2014-03-11;2.3;fog
2014-03-12;1.9;fog
2014-03-13;2.5;rain
2014-03-14;6.1;rain
2014-03-15;3.0;rain
2014-03-16;3.8;rain
2014-03-17;3.2;rain
2014-03-18;1.6;sun
2014-03-19;5.1;rain
2014-03-20;3.0;sun
2014-03-21;3.8;sun
2014-03-22;1.8;sun
2014-03-23;3.3;sun
2014-03-24;2.2;sun
2014-03-25;4.4;rain
2014-03-26;2.4;rain
2014-03-27;2.8;rain
2014-03-28;3.9;rain
2014-03-29;5.1;rain
2014-03-30;5.1;sun
2014-03-31;3.8;sun
2014-04-01;2.8;sun
2014-04-02;4.2;sun
2014-04-03;3.9;rain
2014-04-04;4.7;sun
2014-04-05;4.3;rain
2014-04-06;2.6;sun
2014-04-07;2.5;sun
2014-04-08;4.2;rain
2014-04-09;2.9;sun
2014-04-10;3.6;sun
2014-04-11;2.8;sun
2014-04-12;4.4;sun
2014-04-13;3.1;sun
2014-04-14;2.6;sun
2014-04-15;4.0;rain
2014-04-16;4.6;rain
2014-04-17;4.7;rain
2014-04-18;3.8;sun
2014-04-19;4.7;rain
2014-04-20;2.7;sun
2014-04-21;2.5;rain
2014-04-22;4.2;rain
2014-04-23;5.0;rain
2014-04-24;5.3;rain
2014-04-25;2.3;sun
2014-04-26;3.9;rain
2014-04-27;5.8;rain
2014-04-28;2.6;sun
2014-04-29;2.3;sun
2014-04-30;3.9;sun
2014-05-01;3.0;sun
2014-05-02;4.7;sun
2014-05-03;3.4;rain
2014-05-04;4.2;rain
2014-05-05;3.8;rain
2014-05-06;2.6;sun
2014-05-07;1.7;sun
2014-05-08;3.4;rain
2014-05-09;5.6;rain
2014-05-10;2.1;rain
2014-05-11;1.7;sun
2014-05-12;2.7;sun
2014-05-13;3.8;sun
2014-05-14;3.3;sun
2014-05-15;3.0;sun
2014-05-16;4.1;sun
2014-05-17;3.2;sun
2014-05-18;3.2;sun
2014-05-19;2.2;sun
2014-05-20;2.7;sun
2014-05-21;1.7;sun
2014-05-22;2.5;sun
2014-05-23;4.0;rain
2014-05-24;2.4;sun
2014-05-25;1.4;rain
2014-05-26;4.5;sun
2014-05-27;2.5;sun
2014-05-28;3.4;sun
2014-05-29;4.3;sun
2014-05-30;4.5;sun
2014-05-31;2.2;sun
2014-06-01;2.3;sun
2014-06-02;2.4;sun
2014-06-03;3.2;sun
2014-06-04;2.6;sun
2014-06-05;2.4;sun
2014-06-06;3.2;sun
2014-06-07;3.1;sun
2014-06-08;2.1;sun
2014-06-09;3.6;sun
2014-06-10;2.9;sun
2014-06-11;2.7;sun
2014-06-12;4.0;rain
2014-06-13;5.0;rain
2014-06-14;3.2;sun
2014-06-15;3.6;rain
2014-06-16;2.4;rain
2014-06-17;3.0;rain
2014-06-18;2.7;sun
2014-06-19;3.7;rain
2014-06-20;3.4;rain
2014-06-21;3.6;sun
2014-06-22;2.7;sun
2014-06-23;2.5;sun
2014-06-24;2.5;sun
2014-06-25;2.4;sun
2014-06-26;4.1;sun
2014-06-27;4.5;rain
2014-06-28;4.3;rain
2014-06-29;3.2;sun
2014-06-30;4.4;sun
2014-07-01;3.5;sun
2014-07-02;3.6;sun
2014-07-03;3.1;sun
2014-07-04;3.6;sun
2014-07-05;2.2;fog
2014-07-06;3.0;sun
2014-07-07;4.1;fog
2014-07-08;3.5;sun
2014-07-09;2.3;sun
2014-07-10;2.2;fog
2014-07-11;2.2;sun
2014-07-12;2.2;sun
2014-07-13;2.6;sun
2014-07-14;2.8;sun
2014-07-15;2.3;sun
2014-07-16;2.4;sun
2014-07-17;3.7;sun
2014-07-18;2.8;sun
2014-07-19;5.4;fog
2014-07-20;2.8;sun
2014-07-21;2.2;sun
2014-07-22;1.1;rain
2014-07-23;3.3;rain
2014-07-24;4.7;sun
2014-07-25;2.7;sun
2014-07-26;3.6;sun
2014-07-27;4.1;sun
2014-07-28;3.7;sun
2014-07-29;2.8;sun
2014-07-30;3.4;sun
2014-07-31;4.1;sun
2014-08-01;3.3;sun
2014-08-02;1.7;rain
2014-08-03;2.6;sun
2014-08-04;2.6;sun
2014-08-05;2.7;sun
2014-08-06;2.2;fog
2014-08-07;2.4;fog
2014-08-08;2.9;sun
2014-08-09;4.1;sun
2014-08-10;3.4;sun
2014-08-11;2.6;rain
2014-08-12;3.1;rain
2014-08-13;2.7;rain
2014-08-14;0.6;sun
2014-08-15;1.5;rain
2014-08-16;2.2;sun
2014-08-17;2.8;sun
2014-08-18;3.3;sun
2014-08-19;2.4;sun
2014-08-20;3.6;sun
2014-08-21;1.7;sun
2014-08-22;2.9;sun
2014-08-23;2.0;sun
2014-08-24;2.3;sun
2014-08-25;2.0;sun
2014-08-26;1.8;sun
2014-08-27;1.6;sun
2014-08-28;2.3;sun
2014-08-29;3.4;sun
2014-08-30;2.2;rain
2014-08-31;1.9;rain
2014-09-01;2.5;sun
2014-09-02;4.3;rain
2014-09-03;2.7;sun
2014-09-04;3.1;fog
2014-09-05;6.5;fog
2014-09-06;2.9;sun
2014-09-07;2.1;sun
2014-09-08;2.8;sun
2014-09-09;2.3;sun
2014-09-10;3.9;sun
2014-09-11;5.3;sun
2014-09-12;5.9;sun
2014-09-13;4.2;sun
2014-09-14;1.8;sun
2014-09-15;1.2;sun
2014-09-16;2.8;sun
2014-09-17;2.3;rain
2014-09-18;3.1;rain
